year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2006,2006-10-12,8:30am – 9:15am,Leslie Weir (University of Ottawa),,,keynote,,,,
2006,2006-10-12,9:15am – 10:00am,Walter Lewis (Halton Hills Public Library) | Art Rhyno (University of Windsor),OurOntario: Yours to recover,,talk,,,,
2006,2006-10-12,10:30 am – 11:00am,"Tito Sierra (North Carolina State University, Raleigh, NC)","Improving the Catalogue Interface Using Endeca
",,talk,,,,
2006,2006-10-12,11:00am – 12:00pm,,Lightning Talks,,lightning,,,,
2006,2006-10-12,1:15pm – 2:30pm,"Susan Haigh (Library and Archives Canada, Ottawa) | Lucie Molgat (National Research Council, Ottawa) | Bill Maes (Dalhousie University, Halifax, NS) | Brian Bell (Oakville Public Library)",Panel on National Digital Initiatives Toward a Canadian Digital Information Strategy,,panel,,,,
2006,2006-10-12,2:30pm – 3:00pm,Ron Davies,"Progress and Prospects for European Digital Libraries
",,talk,,,,
2006,2006-10-12,3:30pm – 4:00pm,Clare MacKeigan (Relais International),Re-thinking Resource Sharing,,talk,,,,
2006,2006-10-12,4:00 pm – 5:30 pm,"Dan Chudnov (Yale University, New Haven, CT)","Hackfest Results
",,report,,,,
2006,2006-10-13,8:30am – 9:15am,Roy Tennant (California Digital Library),Keynote Speaker ,,keynote,,,,
2006,2006-10-13,9:15am – 10:00am,Anne Christensen (Hamburg University),"Library Chatboxes in Electronic Reference
",,talk,,,,
2006,2006-10-13,10:30am – 11:00am,"Annette Bailey (Virginia Tech, Blacksburg, VA)","Presentation LibX: A Firefox Extension for Libraries
",,talk,,,,
2006,2006-10-13,11:00am – 11:10pm,"Ross Singer (Georgia Tech, Atlanta, GA)
","The Ümlaut and Ü: Öpening the OpenURL
",,lightning,,,,
2006,2006-10-13,11:10am – 11:20am,"Mark Jordan (Simon Fraser University, Burnaby, BC)
","Drupal Hacks for Libraries
",,lightning,,,,
2006,2006-10-13,11:20am – 11:30am,"Peter Binkley (University of Alberta, Edmonton, AB)
","Faceted search with Solr
",,lightning,,,,
2006,2006-10-13,11:30am – 11:40am,"Dan Chudnov (Yale University, New Haven, CT)
",,,lightning,,,,
2006,2006-10-13,11:40am – 11:50am,"William Oldfield (Waterloo University)
","Etheses to IR via DSpace
",,lightning,,,,
2006,2006-10-13,11:50am – 12:00pm,Grant Gelinas-Brown (University of Winnipeg),"Get Over it Fanboy
",,lightning,,,,
2006,2006-10-13,1:15pm – 2:00pm,"Nora Young (CBC)
",Access to information in an age of social media,,keynote,,,,
2006,2006-10-13,2:00pm – 2:30 pm,Cynthia Carlton (University of Rochester),"CUIPID III, Rochester’s XML Catalog
",,talk,,,,
2006,2006-10-13,2:30pm – 3:00 pm,Richard Akerman (CISTI),"Development of Library Web Services for Discovery and Delivery of Scientific Information, CISTI",,talk,,,,
2006,2006-10-13,3:30pm – 4:15pm,Peter Hickey (University of Ottawa),"Presentation Privacy: Yours, Mine, and Theirs
",,talk,,,,
2006,2006-10-13,4:15pm – 5:00pm,Paul Miller (Talis),"Presentation Engaged and Engaging: Transforming Libraries the Library 2.0 Way
",,talk,,,,
2006,2006-10-13,5:00pm – 5:45pm,,Birds of a Feather,,bof,,,,
2006,2006-10-14,8:30am – 9:45am,"Slavko Manojlovich (Memorial University, Edmonton, AB) | Stephen Sloan (University of New Brunswick, Fredericton, NB) | Carmen Kazakoff-Lane (Brandon University) | Alan Darnell (University of Toronto) | Guy Teasdale (Laval University)","Panel of Consortia Updates: Atlantic Scholarly Information Network Portal

",,panel,,,,
2006,2006-10-14,9:45am – 10:30am,"Stan Ruecker (University of Alberta, Edmonton, AB)",Experimental Interfaces for the Dynamic Visual Grouping of Data During Browsing,,binkley,,,,
2006,2006-10-14,11:00am – 11:45am,Thom Hickey (OCLC),"VIAF: Large scale matching of personal names
",,talk,,,,
2006,2006-10-14,11:45am – 12:30pm,"Clifford Lynch (CNI)
","Looking at the world of networked information: the View from CNI, Fall 2006",,keynote,,,,
