year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2002,2002-10-21,8:45 - 9:45,Brian Beaton (K-Net Services),K-Net: a practical expression of Indigenous community development,,talk,,,,
2002,2002-10-21,9:45 - 10:30,Mike Ridley (ODL Catalyst Team),Sharing It All: A Report from the Ontario Digital Library,,talk,,,,
2002,2002-10-21,11:00-11:45,Steve Salmons (Windsor Public Library),The Library as an Agent of Change and Empowerment,,talk,,,,
2002,2002-10-21,11:45-12:30,Kathy Scardellato (Toronto Public Library),Building Virtual Services: the TPL experience,,talk,,,,
2002,2002-10-21,1:30 - 2:15,Eric Lease Morgan (Notre Dame University),The Role of XML,,talk,,,,
2002,2002-10-21,2:15 - 3:00,Jennifer Howath (Canadian National Institute for the Blind) | Shelagh Patterson (Canadian National Institute for the Blind),Web Accessibility & Adaptive Technology,,talk,,,,
2002,2002-10-21,3:30 - 4:15,Patricia Moore (University of Windsor),Next Generation Web Meets the Front Lines,,talk,,,,
2002,2002-10-21,4:15 - 5:00,Thomas Dowling (OhioLINK),Web Standards: why they matter and how well are libraries following them,,talk,,,,
2002,2002-10-22,8:45 -10:30,"Hal Berghel (University of Nevada, Reno, NV)",Keynote: Analog Executives in a Digital World,,talk,,,,
2002,2002-10-22,11:00 - 11:45,"Lynn Copeland (Simon Fraser University, Burnaby, BC) | Mark Leggot (University of Winnipeg)",The View from the West,,talk,,,,
2002,2002-10-22,11:45 - 12:30,Jeff Beaird (Wheaton College) | Terry Huttenlock (Wheaton College),DocBook for Documenting It All,,talk,,,,
2002,2002-10-22,1:30 - 2:15,Thom Hickey (OCLC),Deconstructing Cataloguing: a Web Services approach to bibliographic control,,talk,,,,
2002,2002-10-22,2:15 - 3:00,Kevin S. Clarke (Stanford University),XML and MARC: a choice or replacement?,,talk,,,,
2002,2002-10-22,3:30 - 4:15,"Bill Moen (University of North Texas, Denton, TX) | Slavko Manojlovich (Memorial University of Newfoundland, St. John's, NF)",Z39.50 for Finding It All,,talk,,,,
2002,2002-10-22,4:15 - 5:00,"Martin Halbert (Emory University, Atlanta, GA)",Metadata Aggregation Services Built on OAI: the MetaScholar Initiative,,talk,,,,
2002,2002-10-23,8:45 - 9:45,"Dan Chudnov (oss4lib curator) | Mark Jordan (Simon Fraser University, Burnaby, BC)",OSS: a Real Option in Real Time,,talk,,,,
2002,2002-10-23,9:45 - 10:30,Ana Maria Escalante (Instituto de Biotecnologia-UNAM) | Gerardo Coello (Instituto de Biotecnologia-UNAM) | Shirley Ainsworth (Instituto de Biotecnologia-UNAM),"Info Trek. The database, the e-journal, the user... Hermes: the fourth passenger",,talk,,,,
2002,2002-10-23,11:00 - 11:45,Glen Newton (CISTI),The Feds & OSS,,talk,,,,
2002,2002-10-23,11:45 - 12:30,Walter Lewis (Halton Hills Public Library),Lessons from HALINET,,talk,,,,
2002,2002-10-23,1:30 - 2:15,Jenny Levine (Suburban Library System),Shifting Libraries at the Speed of Byte,,talk,,,,
2002,2002-10-23,2:15 - 3:00,Clifford Lynch (CNI),Cliff's Notes,,talk,,,,
2002,2002-10-23,3:30 - 4:15,"Peter Binkley (University of Alberta, Edmonton, AB) | Steve Gregory (Colorado Virtual Library)",A SiteSearch Story from the Rockies: a campfire tale ...,,talk,,,,
2002,2002-10-23,4:15 - 5:00,"Peter Rukavina (Reinvented, Inc.)",The Information Red Clay Road Revisited,,talk,,,,
